"unit","nace_r2","indic_se","geo","time","values"
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Portugal",2022-01-01,70.5
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Slovakia",2022-01-01,52.6
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Albania",2021-01-01,54.5
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Bulgaria",2021-01-01,41.5
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Czechia",2021-01-01,40.9
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Germany",2021-01-01,40
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Estonia",2021-01-01,37.9
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Spain",2021-01-01,50.3
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","France",2021-01-01,47.1
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Croatia",2021-01-01,46.6
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Hungary",2021-01-01,40.5
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Lithuania",2021-01-01,44.8
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Luxembourg",2021-01-01,48.8
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Latvia",2021-01-01,41.6
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Montenegro",2021-01-01,45.1
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Malta",2021-01-01,51
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Netherlands",2021-01-01,43.1
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Poland",2021-01-01,50.1
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Portugal",2021-01-01,51.4
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Romania",2021-01-01,48.3
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Serbia",2021-01-01,48.1
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Slovenia",2021-01-01,55.2
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Slovakia",2021-01-01,44.4
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Albania",2021-01-01,88.2
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Germany",2021-01-01,47.8
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Spain",2021-01-01,61.8
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","France",2021-01-01,58.6
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Luxembourg",2021-01-01,61.6
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Malta",2021-01-01,67.3
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Netherlands",2021-01-01,52.1
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Portugal",2021-01-01,68.4
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Slovakia",2021-01-01,55.6
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Albania",2021-01-01,52.6
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Bulgaria",2021-01-01,40.7
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Czechia",2021-01-01,39.5
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Germany",2021-01-01,39.7
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Estonia",2021-01-01,37.6
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Spain",2021-01-01,47.5
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","France",2021-01-01,48.6
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Croatia",2021-01-01,44.9
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Hungary",2021-01-01,41.3
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Lithuania",2021-01-01,43.7
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Luxembourg",2021-01-01,48.5
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Latvia",2021-01-01,41.7
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Montenegro",2021-01-01,41.7
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Malta",2021-01-01,46.3
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Netherlands",2021-01-01,42.6
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Poland",2021-01-01,49.8
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Portugal",2021-01-01,51.8
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Romania",2021-01-01,45
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Serbia",2021-01-01,47.3
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Slovenia",2021-01-01,51.9
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Slovakia",2021-01-01,44.4
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Albania",2021-01-01,73.1
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Germany",2021-01-01,46.4
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Spain",2021-01-01,56.5
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","France",2021-01-01,60.1
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Luxembourg",2021-01-01,60.3
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Malta",2021-01-01,56.7
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Netherlands",2021-01-01,50.2
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Portugal",2021-01-01,68.7
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Slovakia",2021-01-01,54.1
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Albania",2020-01-01,61.4
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Belgium",2020-01-01,42.4
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Bulgaria",2020-01-01,43.1
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Czechia",2020-01-01,41.4
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Germany",2020-01-01,40.3
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Estonia",2020-01-01,42.6
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Spain",2020-01-01,53.2
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","France",2020-01-01,49
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Croatia",2020-01-01,46.3
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Hungary",2020-01-01,41.8
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Ireland",2020-01-01,46.1
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Lithuania",2020-01-01,46.4
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Luxembourg",2020-01-01,50
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Latvia",2020-01-01,39.5
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Montenegro",2020-01-01,41.9
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Malta",2020-01-01,43.3
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Netherlands",2020-01-01,43.3
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Poland",2020-01-01,50.5
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Portugal",2020-01-01,50.8
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Romania",2020-01-01,48.4
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Serbia",2020-01-01,49.8
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Slovenia",2020-01-01,53.6
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Slovakia",2020-01-01,43.6
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Albania",2020-01-01,100
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Belgium",2020-01-01,45.8
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Germany",2020-01-01,48.1
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Spain",2020-01-01,61.1
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","France",2020-01-01,61.5
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Luxembourg",2020-01-01,64.4
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Malta",2020-01-01,53.6
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Netherlands",2020-01-01,52.2
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Portugal",2020-01-01,68.4
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Slovakia",2020-01-01,54.8
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Albania",2020-01-01,56.1
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Bulgaria",2020-01-01,42.9
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Czechia",2020-01-01,40.2
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Germany",2020-01-01,39.8
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Estonia",2020-01-01,44.1
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Spain",2020-01-01,49.6
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","France",2020-01-01,50.6
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Croatia",2020-01-01,44.7
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Hungary",2020-01-01,43.2
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Ireland",2020-01-01,44.7
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Lithuania",2020-01-01,45.3
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Luxembourg",2020-01-01,47.1
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Latvia",2020-01-01,40
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Montenegro",2020-01-01,43.2
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Malta",2020-01-01,41.7
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Netherlands",2020-01-01,42.9
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Poland",2020-01-01,50.3
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Portugal",2020-01-01,51.1
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Romania",2020-01-01,44.7
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Serbia",2020-01-01,48.7
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Slovenia",2020-01-01,50.6
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Slovakia",2020-01-01,43.4
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Albania",2020-01-01,75.9
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Germany",2020-01-01,46.6
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Spain",2020-01-01,55.6
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","France",2020-01-01,63
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Luxembourg",2020-01-01,59.7
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Malta",2020-01-01,50.1
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Netherlands",2020-01-01,50.5
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Portugal",2020-01-01,68.7
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Slovakia",2020-01-01,53.2
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Albania",2019-01-01,55.5
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Belgium",2019-01-01,42.5
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Bulgaria",2019-01-01,43.2
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Czechia",2019-01-01,39
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Germany",2019-01-01,40.8
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Estonia",2019-01-01,38.5
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Spain",2019-01-01,47.8
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","France",2019-01-01,46.7
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Croatia",2019-01-01,43.2
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Hungary",2019-01-01,42.4
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Ireland",2019-01-01,45.9
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Lithuania",2019-01-01,46.5
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Luxembourg",2019-01-01,50
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Latvia",2019-01-01,41.6
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Montenegro",2019-01-01,45.2
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Malta",2019-01-01,45.7
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Netherlands",2019-01-01,43.7
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Poland",2019-01-01,46.1
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Portugal",2019-01-01,49.8
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Romania",2019-01-01,47.4
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Serbia",2019-01-01,48.8
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Slovenia",2019-01-01,52.5
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Slovakia",2019-01-01,40.7
